"initial_alias","converted_alias","name","description","namespace"
"PBX2","ENSG00000204304","PBX2","PBX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:8633]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ILDR2","ENSG00000143195","ILDR2","immunoglobulin like domain containing receptor 2 [Source:HGNC Symbol;Acc:HGNC:18131]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CORO2A","ENSG00000106789","CORO2A","coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NR1H3","ENSG00000025434","NR1H3","nuclear receptor subfamily 1 group H member 3 [Source:HGNC Symbol;Acc:HGNC:7966]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B3GALNT2","ENSG00000162885","B3GALNT2","beta-1,3-N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:28596]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DSTYK","ENSG00000133059","DSTYK","dual serine/threonine and tyrosine protein kinase [Source:HGNC Symbol;Acc:HGNC:29043]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC01396","ENSG00000273396","LINC01396","long intergenic non-protein coding RNA 1396 [Source:HGNC Symbol;Acc:HGNC:50675]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ZNF213","ENSG00000085644","ZNF213","zinc finger protein 213 [Source:HGNC Symbol;Acc:HGNC:13005]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC01506","ENSG00000234506","LINC01506","long intergenic non-protein coding RNA 1506 [Source:HGNC Symbol;Acc:HGNC:51187]","GENECARDS,HGNC"
"SLC25A19","ENSG00000125454","SLC25A19","solute carrier family 25 member 19 [Source:HGNC Symbol;Acc:HGNC:14409]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MKNK2","ENSG00000099875","MKNK2","MAPK interacting serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:7111]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLNC","ENSG00000128591","FLNC","filamin C [Source:HGNC Symbol;Acc:HGNC:3756]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HAPLN2","ENSG00000132702","HAPLN2","hyaluronan and proteoglycan link protein 2 [Source:HGNC Symbol;Acc:HGNC:17410]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM216B","ENSG00000179813","FAM216B","family with sequence similarity 216 member B [Source:HGNC Symbol;Acc:HGNC:26883]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WIPI2","ENSG00000157954","WIPI2","WD repeat domain, phosphoinositide interacting 2 [Source:HGNC Symbol;Acc:HGNC:32225]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HOTTIP","ENSG00000243766","HOTTIP","HOXA distal transcript antisense RNA [Source:HGNC Symbol;Acc:HGNC:37461]","GENECARDS,HGNC"
"OSTC","ENSG00000198856","OSTC","oligosaccharyltransferase complex non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:24448]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SUZ12","ENSG00000178691","SUZ12","SUZ12 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:17101]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OLFML2A","ENSG00000185585","OLFML2A","olfactomedin like 2A [Source:HGNC Symbol;Acc:HGNC:27270]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AJUBA","ENSG00000129474","AJUBA","ajuba LIM protein [Source:HGNC Symbol;Acc:HGNC:20250]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HGF","ENSG00000019991","HGF","hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBLL1","ENSG00000188573","FBLL1","fibrillarin like 1 [Source:HGNC Symbol;Acc:HGNC:35458]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DLEU2","ENSG00000231607","DLEU2","deleted in lymphocytic leukemia 2 [Source:HGNC Symbol;Acc:HGNC:13748]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"C11ORF57","ENSG00000150776","NKAPD1","NKAP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25569]","UNIPROT_GN"
"ADCK2","ENSG00000133597","ADCK2","aarF domain containing kinase 2 [Source:HGNC Symbol;Acc:HGNC:19039]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"B9D1","ENSG00000108641","B9D1","B9 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24123]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DSC1","ENSG00000134765","DSC1","desmocollin 1 [Source:HGNC Symbol;Acc:HGNC:3035]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PAMR1","ENSG00000149090","PAMR1","peptidase domain containing associated with muscle regeneration 1 [Source:HGNC Symbol;Acc:HGNC:24554]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MRPL36","ENSG00000171421","MRPL36","mitochondrial ribosomal protein L36 [Source:HGNC Symbol;Acc:HGNC:14490]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADGRG5","ENSG00000159618","ADGRG5","adhesion G protein-coupled receptor G5 [Source:HGNC Symbol;Acc:HGNC:19010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CXADR","ENSG00000154639","CXADR","CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00523","ENSG00000196273","LINC00523","long intergenic non-protein coding RNA 523 [Source:HGNC Symbol;Acc:HGNC:20117]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"CALN1","ENSG00000183166","CALN1","calneuron 1 [Source:HGNC Symbol;Acc:HGNC:13248]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC39A4","ENSG00000147804","SLC39A4","solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PROCR","ENSG00000101000","PROCR","protein C receptor [Source:HGNC Symbol;Acc:HGNC:9452]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C20ORF141","ENSG00000258713","C20orf141","chromosome 20 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:16134]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C2ORF76","ENSG00000186132","C2orf76","chromosome 2 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:27017]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCR9","ENSG00000173585","CCR9","C-C motif chemokine receptor 9 [Source:HGNC Symbol;Acc:HGNC:1610]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDK19","ENSG00000155111","CDK19","cyclin dependent kinase 19 [Source:HGNC Symbol;Acc:HGNC:19338]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRISP2","ENSG00000124490","CRISP2","cysteine rich secretory protein 2 [Source:HGNC Symbol;Acc:HGNC:12024]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NPEPPS","ENSG00000141279","NPEPPS","aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:HGNC:7900]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ADSSL1","None","None","None",""
"SP2","ENSG00000167182","SP2","Sp2 transcription factor [Source:HGNC Symbol;Acc:HGNC:11207]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SCML1","ENSG00000047634","SCML1","Scm polycomb group protein like 1 [Source:HGNC Symbol;Acc:HGNC:10580]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BPIFA3","ENSG00000131059","BPIFA3","BPI fold containing family A member 3 [Source:HGNC Symbol;Acc:HGNC:16204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ATP2B2","ENSG00000157087","ATP2B2","ATPase plasma membrane Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:815]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DSCR9","ENSG00000230366","DSCR9","Down syndrome critical region 9 [Source:HGNC Symbol;Acc:HGNC:16301]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"POM121","ENSG00000196313","POM121","POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:HGNC:19702]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEGF9","ENSG00000106780","MEGF9","multiple EGF like domains 9 [Source:HGNC Symbol;Acc:HGNC:3234]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UNC5C","ENSG00000182168","UNC5C","unc-5 netrin receptor C [Source:HGNC Symbol;Acc:HGNC:12569]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PACSIN3","ENSG00000165912","PACSIN3","protein kinase C and casein kinase substrate in neurons 3 [Source:HGNC Symbol;Acc:HGNC:8572]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PPP1R17","ENSG00000106341","PPP1R17","protein phosphatase 1 regulatory subunit 17 [Source:HGNC Symbol;Acc:HGNC:16973]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"URM1","ENSG00000167118","URM1","ubiquitin related modifier 1 [Source:HGNC Symbol;Acc:HGNC:28378]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PHLDA2","ENSG00000181649","PHLDA2","pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AMER1","ENSG00000184675","AMER1","APC membrane recruitment protein 1 [Source:HGNC Symbol;Acc:HGNC:26837]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C9ORF152","ENSG00000188959","C9orf152","chromosome 9 open reading frame 152 [Source:HGNC Symbol;Acc:HGNC:31455]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KCNMB3","ENSG00000171121","KCNMB3","potassium calcium-activated channel subfamily M regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6287]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZSWIM8","ENSG00000214655","ZSWIM8","zinc finger SWIM-type containing 8 [Source:HGNC Symbol;Acc:HGNC:23528]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TKTL2","ENSG00000151005","TKTL2","transketolase like 2 [Source:HGNC Symbol;Acc:HGNC:25313]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SHISA6","ENSG00000188803","SHISA6","shisa family member 6 [Source:HGNC Symbol;Acc:HGNC:34491]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SERPINB4","ENSG00000206073","SERPINB4","serpin family B member 4 [Source:HGNC Symbol;Acc:HGNC:10570]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA1","ENSG00000165029","ABCA1","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ESPNP","ENSG00000268869","ESPNP","espin pseudogene [Source:HGNC Symbol;Acc:HGNC:23285]","GENECARDS,HGNC"
"STX18-AS1","ENSG00000247708","STX18-AS1","STX18 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:48877]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"SESN1","ENSG00000080546","SESN1","sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FLJ42102","None","None","None",""
"FBXL21","None","None","None",""
"TMX4","ENSG00000125827","TMX4","thioredoxin related transmembrane protein 4 [Source:HGNC Symbol;Acc:HGNC:25237]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LGALSL","ENSG00000119862","LGALSL","galectin like [Source:HGNC Symbol;Acc:HGNC:25012]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEF2C-AS1","ENSG00000248309","MEF2C-AS1","MEF2C antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48908]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"IRX3","ENSG00000177508","IRX3","iroquois homeobox 3 [Source:HGNC Symbol;Acc:HGNC:14360]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ENG","ENSG00000106991","ENG","endoglin [Source:HGNC Symbol;Acc:HGNC:3349]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRR19","ENSG00000188368","PRR19","proline rich 19 [Source:HGNC Symbol;Acc:HGNC:33728]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS8","ENSG00000142937","RPS8","ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GADD45G","ENSG00000130222","GADD45G","growth arrest and DNA damage inducible gamma [Source:HGNC Symbol;Acc:HGNC:4097]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LINC00445","ENSG00000236036","LINC00445","long intergenic non-protein coding RNA 445 [Source:HGNC Symbol;Acc:HGNC:42782]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ZNF451","ENSG00000112200","ZNF451","zinc finger protein 451 [Source:HGNC Symbol;Acc:HGNC:21091]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OR10J1","ENSG00000196184","OR10J1","olfactory receptor family 10 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:8175]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC27A5","ENSG00000083807","SLC27A5","solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GSC2","ENSG00000063515","GSC2","goosecoid homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4613]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TTBK2","ENSG00000128881","TTBK2","tau tubulin kinase 2 [Source:HGNC Symbol;Acc:HGNC:19141]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAPZB","ENSG00000077549","CAPZB","capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PSG8","ENSG00000124467","PSG8","pregnancy specific beta-1-glycoprotein 8 [Source:HGNC Symbol;Acc:HGNC:9525]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CWF19L1","ENSG00000095485","CWF19L1","CWF19 like cell cycle control factor 1 [Source:HGNC Symbol;Acc:HGNC:25613]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDRG1","ENSG00000088356","PDRG1","p53 and DNA damage regulated 1 [Source:HGNC Symbol;Acc:HGNC:16119]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TRIM39","ENSG00000204599","TRIM39","tripartite motif containing 39 [Source:HGNC Symbol;Acc:HGNC:10065]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPS6KL1","ENSG00000198208","RPS6KL1","ribosomal protein S6 kinase like 1 [Source:HGNC Symbol;Acc:HGNC:20222]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NUCB1","ENSG00000104805","NUCB1","nucleobindin 1 [Source:HGNC Symbol;Acc:HGNC:8043]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VAV2","ENSG00000160293","VAV2","vav guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:12658]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTF1","ENSG00000188786","MTF1","metal regulatory transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7428]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NADK","ENSG00000008130","NADK","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM117B","ENSG00000138439","FAM117B","family with sequence similarity 117 member B [Source:HGNC Symbol;Acc:HGNC:14440]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CCDC47","ENSG00000108588","CCDC47","coiled-coil domain containing 47 [Source:HGNC Symbol;Acc:HGNC:24856]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAN2A2","ENSG00000196547","MAN2A2","mannosidase alpha class 2A member 2 [Source:HGNC Symbol;Acc:HGNC:6825]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NFASC","ENSG00000163531","NFASC","neurofascin [Source:HGNC Symbol;Acc:HGNC:29866]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"C5ORF66-AS2","None","None","None",""
"NRXN3","ENSG00000021645","NRXN3","neurexin 3 [Source:HGNC Symbol;Acc:HGNC:8010]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GYPC","ENSG00000136732","GYPC","glycophorin C (Gerbich blood group) [Source:HGNC Symbol;Acc:HGNC:4704]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA5","ENSG00000161638","ITGA5","integrin subunit alpha 5 [Source:HGNC Symbol;Acc:HGNC:6141]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KYNU","ENSG00000115919","KYNU","kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MKNK1","ENSG00000079277","MKNK1","MAPK interacting serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:7110]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GPBP1L1","ENSG00000159592","GPBP1L1","GC-rich promoter binding protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28843]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
